Time,Distance
25/04/23 21:34:36,36
25/04/23 21:34:36,36
25/04/23 21:34:36,35
25/04/23 21:34:36,35
25/04/23 21:34:36,36
25/04/23 21:34:36,36
25/04/23 21:34:36,35
25/04/23 21:34:36,35
25/04/23 21:34:36,35
25/04/23 21:34:36,35
25/04/23 21:34:36,36
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:37,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:38,35
25/04/23 21:34:39,35
25/04/23 21:34:39,35
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,36
25/04/23 21:34:39,35
25/04/23 21:34:39,35
25/04/23 21:34:40,35
25/04/23 21:34:40,35
25/04/23 21:34:40,35
25/04/23 21:34:40,35
25/04/23 21:34:40,35
25/04/23 21:34:40,35
25/04/23 21:34:58,27
25/04/23 21:34:58,28
25/04/23 21:34:58,28
25/04/23 21:34:58,28
25/04/23 21:34:58,28
25/04/23 21:34:58,28
25/04/23 21:34:58,28
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:58,29
25/04/23 21:34:59,29
25/04/23 21:34:59,29
25/04/23 21:34:59,29
25/04/23 21:34:59,29
25/04/23 21:34:59,29
25/04/23 21:34:59,29
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:34:59,28
25/04/23 21:35:00,28
25/04/23 21:35:00,28
25/04/23 21:35:00,28
25/04/23 21:35:00,28
